Team,#,POS.,FIFA POPULAR NAME,BIRTH DATE,SHIRT NAME,CLUB,HEIGHT,WEIGHT,ilk isim,soyisim
Argentina,3,DF,TAGLIAFICO Nicolas,31.08.1992,TAGLIAFICO,AFC Ajax (NED),169,65,TAGLIAFICO,Nicolas
Argentina,22,MF,PAVON Cristian,21.01.1996,PAVÓN,CA Boca Juniors (ARG),169,65,PAVON,Cristian
Argentina,15,MF,LANZINI Manuel,15.02.1993,LANZINI,West Ham United FC (ENG),167,66,LANZINI,Manuel
Argentina,18,DF,SALVIO Eduardo,13.07.1990,SALVIO,SL Benfica (POR),167,69,SALVIO,Eduardo
Argentina,10,FW,MESSI Lionel,24.06.1987,MESSI,FC Barcelona (ESP),170,72,MESSI,Lionel
Argentina,4,DF,ANSALDI Cristian,20.09.1986,ANSALDI,Torino FC (ITA),181,73,ANSALDI,Cristian
Argentina,5,MF,BIGLIA Lucas,30.01.1986,BIGLIA,AC Milan (ITA),175,73,BIGLIA,Lucas
Argentina,7,MF,BANEGA Ever,29.06.1988,BANEGA,Sevilla FC (ESP),175,73,BANEGA,Ever
Argentina,14,DF,MASCHERANO Javier,08.06.1984,MASCHERANO,Hebei China Fortune FC (CHN),174,73,MASCHERANO,Javier
Argentina,21,FW,DYBALA Paulo,15.11.1993,DYBALA,Juventus FC (ITA),177,73,DYBALA,Paulo
Argentina,19,FW,AGUERO Sergio,02.06.1988,AGÜERO,Manchester City FC (ENG),172,74,AGUERO,Sergio
Argentina,9,FW,HIGUAIN Gonzalo,10.12.1987,HIGUAÍN,Juventus FC (ITA),184,75,HIGUAIN,Gonzalo
Argentina,11,MF,DI MARIA Angel,14.02.1988,DI MARÍA,Paris Saint-Germain FC (FRA),178,75,DI,MARIA Angel
Argentina,20,MF,LO CELSO Giovani,09.04.1996,LO CELSO,Paris Saint-Germain FC (FRA),177,75,LO,CELSO Giovani
Argentina,13,MF,MEZA Maximiliano,15.12.1992,MEZA,CA Independiente (ARG),180,76,MEZA,Maximiliano
